step 20/2018 | epoch 1/1 | loss 5.3952
step 40/2018 | epoch 1/1 | loss 4.5831
step 60/2018 | epoch 1/1 | loss 3.6276
step 80/2018 | epoch 1/1 | loss 2.8981
step 100/2018 | epoch 1/1 | loss 2.5614
step 120/2018 | epoch 1/1 | loss 2.3917
step 140/2018 | epoch 1/1 | loss 2.1334
step 160/2018 | epoch 1/1 | loss 2.0594
step 180/2018 | epoch 1/1 | loss 1.8996
step 200/2018 | epoch 1/1 | loss 1.8766
step 220/2018 | epoch 1/1 | loss 1.7105
step 240/2018 | epoch 1/1 | loss 1.6242
step 260/2018 | epoch 1/1 | loss 1.6210
step 280/2018 | epoch 1/1 | loss 1.6367
step 300/2018 | epoch 1/1 | loss 1.5835
step 320/2018 | epoch 1/1 | loss 1.4791
step 340/2018 | epoch 1/1 | loss 1.4785
step 360/2018 | epoch 1/1 | loss 1.4579
step 380/2018 | epoch 1/1 | loss 1.5502
step 400/2018 | epoch 1/1 | loss 1.4051
step 420/2018 | epoch 1/1 | loss 1.4599
step 440/2018 | epoch 1/1 | loss 3.9312
step 460/2018 | epoch 1/1 | loss 1.4008
step 480/2018 | epoch 1/1 | loss 1.4477
step 500/2018 | epoch 1/1 | loss 1.4234
step 520/2018 | epoch 1/1 | loss 1.3562
step 540/2018 | epoch 1/1 | loss 1.3613
step 560/2018 | epoch 1/1 | loss 1.3747
step 580/2018 | epoch 1/1 | loss 1.3903
step 600/2018 | epoch 1/1 | loss 1.3628
